0 16 140988777 170354879 1148 8541 51.6551 9114 1.63661 50.0047 120 200 300 713 1148 1148 1148 1148
1 16 2012269 426710298 1761 20654 52.0374 21974 2.01878 50.0049 92 134 184 584 1084 1761 1761 1761
2 16 135790721 207760958 1041 20502 51.9457 22163 1.93049 50.0017 150 323 411 799 1041 1041 1041 1041
3 16 180892306 245263566 497 28025 52.4324 30267 2.41943 50.0016 52 105 155 497 497 497 497 497
4 16 125279772 181529712 1268 2767 51.2931 3133 1.27998 50.0019 159 285 337 727 1224 1268 1268 1268
5 16 47024012 358074200 1158 16526 51.893 19358 1.87683 50.0049 93 242 321 719 1158 1158 1158 1158
6 16 51664653 357204369 957 14155 51.9078 15785 1.8944 50.0017 79 188 254 637 957 957 957 957
7 16 32731767 376219411 3136 15579 51.9849 18001 1.96505 50.0057 155 366 501 962 1460 2959 3136 3136
8 16 66048263 354566375 731 11701 51.3794 12462 1.36097 50.0046 128 211 261 658 731 731 731 731
9 16 1240105 424935656 1702 9482 51.693 10553 1.67874 50.002 43 83 133 533 1033 1702 1702 1702
10 16 12507574 410673375 386 17301 52.0121 19237 1.99846 50.0015 61 158 208 386 386 386 386 386
11 16 194168697 105603016 1054 4569 51.3862 5360 1.37226 50.0017 157 260 307 706 1054 1054 1054 1054
12 16 6429982 421493163 843 38230 52.4263 42579 2.37041 50.0017 45 132 219 608 843 843 843 843
13 16 39413763 374401842 665 9518 51.6692 12268 1.65337 50.0016 111 167 224 607 665 665 665 665
14 16 63717517 351246836 243 8299 51.5583 9200 1.53956 50.0043 64 104 154 243 243 243 243 243
15 16 199506161 213694855 410 21431 51.5949 23247 1.58029 50.0015 81 134 173 410 410 410 410 410
16 16 6329414 417946675 1687 15915 51.6862 17126 1.66697 50.0048 69 177 262 662 1162 1687 1687 1687
17 16 162904965 152994724 381 1845 51.1475 2343 1.13278 50.0044 96 137 186 381 381 381 381 381
18 16 171032893 183484364 477 4486 51.3261 5202 1.31008 50.0045 130 191 241 477 477 477 477 477
19 16 119656269 278602258 445 13870 51.7882 15178 1.77394 50.0015 90 144 190 445 445 445 445 445
