1 8 2074 3533 480 485 0.0674694 548 0.0600591 0.00218204 80 321 426 480 480 480 480 480
2 8 11169 24132 2771 3338 0.147211 3738 0.128509 0.0126792 80 400 800 1880 2384 2771 2771 2771
3 8 6394 14191 924 1004 0.09148 1115 0.0799625 0.00607921 80 400 591 924 924 924 924 924
4 8 6607 7383 555 1026 0.138957 1526 0.128961 0.0049334 80 266 343 555 555 555 555 555
5 8 26022 129041 5363 5686 0.197946 5933 0.144442 0.0479622 80 400 800 3016 3863 5322 5363 5363
6 8 16121 39283 2966 3394 0.170896 3806 0.149004 0.0164427 80 400 800 1968 2499 2966 2966 2966
7 8 3222 3108 1157 1247 0.089036 1247 0.0811038 0.00299717 80 400 708 1157 1157 1157 1157 1157
8 8 4848 9092 1177 1351 0.0962234 1525 0.0864887 0.00499677 80 400 675 1177 1177 1177 1177 1177
9 8 11367 41399 827 827 0.0826787 827 0.0647304 0.0139651 80 400 597 827 827 827 827 827
10 8 66298 326416 2489 2774 0.217455 3311 0.127852 0.082414 80 400 794 1692 2187 2489 2489 2489
11 8 22875 105125 1776 2046 0.131468 2046 0.0941708 0.0313475 80 400 789 1424 1776 1776 1776 1776
12 8 210110 462444 5946 6416 0.382695 7459 0.16739 0.209881 80 400 800 3147 4168 5649 5946 5946
13 8 5089 8026 766 768 0.0743903 768 0.0654969 0.00407812 80 384 560 766 766 766 766 766
14 8 3361 4380 595 761 0.0774223 969 0.0701971 0.00317497 80 365 505 595 595 595 595 595
15 8 11188 25786 1036 1521 0.147447 1837 0.128298 0.0125224 80 400 583 1036 1036 1036 1036 1036
16 8 6007 8809 422 423 0.0625017 584 0.053769 0.00458941 80 314 390 422 422 422 422 422
17 8 44633 87890 3007 3524 0.226659 4395 0.176129 0.0449033 80 400 800 1825 2378 3007 3007 3007
18 8 11578 23384 1332 1659 0.120559 2127 0.105166 0.0101734 80 400 674 1183 1332 1332 1332 1332
19 8 8465 11091 634 635 0.0868112 826 0.073571 0.00699329 80 373 500 634 634 634 634 634
20 8 29907 77882 2774 3140 0.168869 3681 0.134832 0.0279267 80 400 800 2055 2556 2774 2774 2774
21 8 6743 8066 1848 2220 0.120068 2563 0.107878 0.0071581 80 400 768 1468 1848 1848 1848 1848
22 8 10720 25484 2480 2650 0.14194 2830 0.123751 0.0116325 80 400 800 1868 2361 2480 2480 2480
23 8 28194 70814 2330 3467 0.190438 4015 0.146883 0.0381821 80 400 800 1662 2171 2330 2330 2330
