0 16 78985699 331324980 8435 58841 57.7807 62073 7.68265 50.0174 160 789 1237 3154 4571 6636 8435 8435
1 16 136362876 259808538 6890 52669 57.5683 61205 7.48327 50.0048 160 601 990 2791 4001 5698 6890 6890
2 16 110960788 293150775 10525 51125 58.0169 63664 7.94056 50.0067 160 728 1193 3485 5186 7694 9974 10525
3 16 123046889 259776682 5082 53157 57.7945 60805 7.71811 50.0104 127 490 828 2433 3377 4766 5082 5082
4 16 79641101 330588157 10591 56867 57.6817 59591 7.59351 50.014 160 672 1161 3553 5215 7807 10067 10591
5 16 173372404 232947530 11566 56234 57.4772 61833 7.38394 50.0188 160 732 1235 3667 5487 8365 10659 11566
6 16 125167790 278451771 6261 58839 57.7588 62540 7.66482 50.0125 160 632 935 2574 3712 5321 6261 6261
7 16 22081378 374183738 7848 57749 58.1752 63579 8.07026 50.0165 160 752 1159 3039 4349 6336 7848 7848
8 16 39639954 382184138 4063 56609 58.6803 64761 8.60097 50.004 118 450 775 2149 2921 4063 4063 4063
9 16 47475044 353110330 11065 54693 57.9244 63886 7.84361 50.0065 160 707 1211 3622 5423 8163 10425 11065
10 16 58676874 354950117 2277 57793 57.0615 61101 6.98306 50.0031 131 413 640 1516 1972 2277 2277 2277
11 16 85868211 319062916 10648 55158 57.7177 61960 7.62626 50.0088 160 723 1172 3572 5316 7885 10160 10648
12 16 35566117 375293137 4098 54063 58.2676 64778 8.18922 50.0037 154 479 781 2046 2826 4098 4098 4098
13 16 35680287 376178929 3115 52990 58.0894 65225 8.00984 50.0033 160 438 703 1858 2454 3115 3115 3115
14 16 95335021 309836713 13437 53373 58.7392 60759 8.64755 50.0189 160 738 1260 4054 6182 9566 11973 13437
15 16 97907041 303990846 16124 58462 57.8504 62892 7.75943 50.0087 160 754 1327 4318 6655 10413 13236 16124
16 16 139522144 275425259 11527 54252 57.7172 60721 7.6313 50.019 160 793 1325 3881 5756 8452 10752 11527
17 16 48143493 369688909 10967 56376 57.9172 63994 7.82265 50.0184 160 778 1264 3596 5298 7920 10242 10967
18 16 117684008 292564549 4953 56846 58.6544 62696 8.57352 50.004 160 607 961 2474 3377 4757 4953 4953
19 16 94547244 256663970 8122 49480 57.9318 63651 7.85392 50.0052 160 720 1163 3234 4630 6532 8122 8122
