1 16 2800860 28115076 4089 6069 11.4376 6748 1.41842 10.0057 160 779 1143 2060 2568 4012 4089 4089
2 16 2679230 7292008 4268 9632 11.9922 11413 1.97346 10.006 160 798 1178 2550 3209 4268 4268 4268
3 16 52302726 3 48 19179 12.0559 20151 2.03997 10.0016 48 48 48 48 48 48 48 48
4 16 1410039 33461490 13153 26038 11.9564 27720 1.93263 10.0094 160 800 1600 3991 5075 7002 9572 13153
5 16 1829716 27357374 7256 16061 11.6639 17232 1.64606 10.0038 160 800 1522 3248 4265 5871 7256 7256
6 16 46765285 6 96 5150 11.4962 6450 1.48028 10.0046 96 96 96 96 96 96 96 96
7 16 537206 495207 1683 2105 1.48838 2383 0.999341 0.476921 160 613 857 1462 1683 1683 1683 1683
8 16 2409538 31723767 12901 29121 12.0769 29588 2.05693 10.0068 160 800 1600 3642 4691 6610 9090 12901
9 16 13455950 6499463 9019 23630 11.8558 25922 1.83793 10.0046 160 800 1600 3427 4465 6266 8710 9019
10 16 13357146 10006083 3219 5626 11.2223 6300 1.20686 10.0025 160 686 952 1696 2215 3219 3219 3219
11 16 4620548 5317833 12412 56035 12.0701 59517 2.05257 10.0052 160 800 1600 6364 7426 9122 11539 12412
12 16 8192515 17410495 4549 8770 11.4923 9022 1.47356 10.0062 160 793 1211 2352 2871 4344 4549 4549
13 16 25371752 35 560 4516 11.398 5572 1.37898 10.0047 160 560 560 560 560 560 560 560
14 16 13635095 15101622 2249 6212 11.3981 7109 1.38573 10.0022 160 692 916 1582 2074 2249 2249 2249
15 16 130321 243967 10639 11576 2.5121 12339 1.91151 0.588279 160 795 1334 4808 7763 9579 10639 10639
16 16 283426 15519388 3258 4123 11.8739 5577 1.85964 10.0027 160 678 901 1455 2194 3258 3258 3258
17 16 2015286 33237398 2771 5958 11.321 7580 1.30372 10.0055 160 678 858 1373 1862 2771 2771 2771
18 16 395135 1189989 5150 6247 2.15589 6890 1.55191 0.588815 160 766 1102 2181 2933 4332 5150 5150
19 16 6731880 21022582 6145 13275 11.6944 13829 1.62751 10.0037 160 800 1536 2804 3341 4861 6145 6145
20 16 5745839 20414350 4925 8111 11.7672 9442 1.74616 10.0061 160 795 1228 2389 3058 4554 4925 4925
21 16 7925867 15008983 5754 12469 11.7006 13607 1.6863 10.0035 160 800 1219 2306 3310 4917 5754 5754
22 16 875826 59469 2299 2587 1.6818 3121 1.20469 0.464579 160 667 1022 2019 2299 2299 2299 2299
23 16 497714 722344 4059 4441 2.21164 4760 1.65882 0.543535 160 720 1117 2882 3485 4059 4059 4059
